unit,track,ten_file,tieu_de,link_trang_unit,link_track,link_mp3,thoi_luong
1,1,AudioTrack_01_01.mp3,Track 1,https://efc-audiotrack.github.io/u1/,https://efc-audiotrack.github.io/u1/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_01_01.mp3,
1,2,AudioTrack_01_02.mp3,Track 2,https://efc-audiotrack.github.io/u1/,https://efc-audiotrack.github.io/u1/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_01_02.mp3,
1,3,AudioTrack_01_03.mp3,Track 3,https://efc-audiotrack.github.io/u1/,https://efc-audiotrack.github.io/u1/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_01_03.mp3,
1,4,AudioTrack_01_04.mp3,Track 4,https://efc-audiotrack.github.io/u1/,https://efc-audiotrack.github.io/u1/#t4,https://efc-audiotrack.github.io/audio/AudioTrack_01_04.mp3,
1,5,AudioTrack_01_05.mp3,Track 5,https://efc-audiotrack.github.io/u1/,https://efc-audiotrack.github.io/u1/#t5,https://efc-audiotrack.github.io/audio/AudioTrack_01_05.mp3,
1,6,AudioTrack_01_06.mp3,Track 6,https://efc-audiotrack.github.io/u1/,https://efc-audiotrack.github.io/u1/#t6,https://efc-audiotrack.github.io/audio/AudioTrack_01_06.mp3,
1,7,AudioTrack_01_07.mp3,Track 7,https://efc-audiotrack.github.io/u1/,https://efc-audiotrack.github.io/u1/#t7,https://efc-audiotrack.github.io/audio/AudioTrack_01_07.mp3,
2,1,AudioTrack_02_01.mp3,Track 1,https://efc-audiotrack.github.io/u2/,https://efc-audiotrack.github.io/u2/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_02_01.mp3,
2,2,AudioTrack_02_02.mp3,Track 2,https://efc-audiotrack.github.io/u2/,https://efc-audiotrack.github.io/u2/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_02_02.mp3,
2,3,AudioTrack_02_03.mp3,Track 3,https://efc-audiotrack.github.io/u2/,https://efc-audiotrack.github.io/u2/#t3,https://efc-audiotrack.github.io/audio/AudioTrack_02_03.mp3,
2,4,AudioTrack_02_04.mp3,Track 4,https://efc-audiotrack.github.io/u2/,https://efc-audiotrack.github.io/u2/#t4,https://efc-audiotrack.github.io/audio/AudioTrack_02_04.mp3,
2,5,AudioTrack_02_05.mp3,Track 5,https://efc-audiotrack.github.io/u2/,https://efc-audiotrack.github.io/u2/#t5,https://efc-audiotrack.github.io/audio/AudioTrack_02_05.mp3,
2,6,AudioTrack_02_06.mp3,Track 6,https://efc-audiotrack.github.io/u2/,https://efc-audiotrack.github.io/u2/#t6,https://efc-audiotrack.github.io/audio/AudioTrack_02_06.mp3,
3,1,AudioTrack_03_01.mp3,Track 1,https://efc-audiotrack.github.io/u3/,https://efc-audiotrack.github.io/u3/#t1,https://efc-audiotrack.github.io/audio/AudioTrack_03_01.mp3,
3,2,AudioTrack_03_02.mp3,Track 2,https://efc-audiotrack.github.io/u3/,https://efc-audiotrack.github.io/u3/#t2,https://efc-audiotrack.github.io/audio/AudioTrack_03_02.mp3,
